"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
5.150000,1.012004,0.796499,210.927157,694.113482
5.160000,1.012725,0.795436,209.291107,694.135895
5.170000,1.013463,0.794357,207.641378,694.155272
5.180000,1.014217,0.793261,205.979894,694.169545
5.190000,1.014986,0.792149,204.308581,694.176669
5.200000,1.015769,0.791020,202.629372,694.174602
5.210000,1.016565,0.789873,200.944170,694.161378
5.220000,1.017372,0.788707,199.254871,694.135095
5.230000,1.018190,0.787523,197.563367,694.093912
5.240000,1.019017,0.786320,195.871540,694.036067
5.250000,1.019852,0.785098,194.181267,693.959897
5.260000,1.020694,0.783857,192.494415,693.863843
5.270000,1.021543,0.782596,190.812844,693.746463
5.280000,1.022396,0.781316,189.138406,693.606444
5.290000,1.023252,0.780016,187.472999,693.442572
5.300000,1.024111,0.778697,185.818602,693.253703
5.310000,1.024971,0.777360,184.177153,693.038821
5.320000,1.025831,0.776004,182.550460,692.797093
5.330000,1.026690,0.774631,180.940173,692.527919
5.340000,1.027547,0.773241,179.347848,692.230908
5.350000,1.028401,0.771834,177.775067,691.905842
5.360000,1.029251,0.770412,176.223394,691.552622
5.370000,1.030095,0.768977,174.694249,691.171287
5.380000,1.030932,0.767528,173.188982,690.762093
5.390000,1.031762,0.766069,171.708995,690.325438
5.400000,1.032583,0.764599,170.255651,689.861995
5.410000,1.033395,0.763122,168.830054,689.372637
5.420000,1.034196,0.761638,167.433183,688.858263
5.430000,1.034985,0.760150,166.066130,688.320029
5.440000,1.035762,0.758660,164.730174,687.759391
5.450000,1.036526,0.757170,163.426671,687.178026
5.460000,1.037276,0.755684,162.156793,686.577683
