"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
5.010000,0.975408,0.860393,286.718030,698.775259
5.020000,0.976000,0.859293,285.163943,698.862195
5.030000,0.976629,0.858130,283.561649,698.935967
5.040000,0.977293,0.856906,281.913000,698.994765
5.050000,0.977991,0.855621,280.219907,699.036829
5.060000,0.978724,0.854274,278.484329,699.060482
5.070000,0.979488,0.852868,276.708281,699.064125
5.080000,0.980284,0.851402,274.893837,699.046237
5.090000,0.981110,0.849877,273.043126,699.005390
5.100000,0.981965,0.848295,271.158331,698.940261
5.110000,0.982847,0.846657,269.241687,698.849635
5.120000,0.983756,0.844964,267.295475,698.732419
5.130000,0.984689,0.843217,265.322026,698.587648
5.140000,0.985645,0.841419,263.323712,698.414491
5.150000,0.986623,0.839571,261.302940,698.212261
5.160000,0.987622,0.837676,259.262144,697.980418
5.170000,0.988640,0.835734,257.203783,697.718579
5.180000,0.989676,0.833750,255.130346,697.426518
5.190000,0.990727,0.831724,253.044349,697.104170
5.200000,0.991792,0.829661,250.948355,696.751588
5.210000,0.992871,0.827562,248.844919,696.369048
5.220000,0.993961,0.825430,246.736616,695.956993
5.230000,0.995060,0.823269,244.626039,695.516024
5.240000,0.996168,0.821082,242.515786,695.046907
5.250000,0.997282,0.818872,240.408449,694.550575
5.260000,0.998401,0.816642,238.306610,694.028128
5.270000,0.999523,0.814396,236.212829,693.480833
5.280000,1.000647,0.812138,234.129639,692.910114
5.290000,1.001772,0.809871,232.059437,692.317498
5.300000,1.002895,0.807599,230.004406,691.704571
5.310000,1.004015,0.805326,227.966711,691.073102
5.320000,1.005130,0.803055,225.948633,690.425091
5.330000,1.006240,0.800791,223.952614,689.762769
5.340000,1.007342,0.798538,221.981197,689.088486
5.350000,1.008436,0.796300,220.036662,688.404633
5.360000,1.009520,0.794080,218.121169,687.713628
5.370000,1.010592,0.791884,216.236906,687.017970
5.380000,1.011653,0.789715,214.386059,686.320254
5.390000,1.012699,0.787576,212.570858,685.622989
5.400000,1.013732,0.785472,210.793308,684.928816
5.410000,1.014748,0.783407,209.055303,684.240568
5.420000,1.015748,0.781384,207.358783,683.560907
5.430000,1.016730,0.779407,205.705506,682.892479
5.440000,1.017693,0.777480,204.096994,682.237974
5.450000,1.018637,0.775606,202.534609,681.600129
5.460000,1.019560,0.773789,201.019727,680.981647
